VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
18/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
19/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
20/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
21/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
24/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
25/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
26/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
27/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
28/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
02/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
03/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
04/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
05/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
08/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
09/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
10/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
11/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
12/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
15/07/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
